node,compartment,time,value
1,1,1,10976
1,1,2,11965
1,1,3,9981
1,1,4,9976
1,1,5,14954
1,1,6,6
1,1,7,13
1,1,8,3
1,1,9,11
1,1,10,11
1,2,1,13
1,2,2,10
1,2,3,9
1,2,4,8
1,2,5,20
1,2,6,5
1,2,7,12
1,2,8,7
1,2,9,5
1,2,10,15
1,3,1,10976
1,3,2,11962
1,3,3,9978
1,3,4,9974
1,3,5,14942
1,3,6,6
1,3,7,15
1,3,8,6
1,3,9,13
1,3,10,22
1,4,1,13
1,4,2,11
1,4,3,7
1,4,4,7
1,4,5,18
1,4,6,5
1,4,7,12
1,4,8,9
1,4,9,6
1,4,10,18
2,1,1,10976
2,1,2,11957
2,1,3,9977
2,1,4,9971
2,1,5,14937
2,1,6,6
2,1,7,18
2,1,8,5
2,1,9,12
2,1,10,22
2,2,1,13
2,2,2,13
2,2,3,9
2,2,4,11
2,2,5,22
2,2,6,5
2,2,7,12
2,2,8,9
2,2,9,6
2,2,10,19
2,3,1,10976
2,3,2,11955
2,3,3,9976
2,3,4,9970
2,3,5,14926
2,3,6,6
2,3,7,17
2,3,8,6
2,3,9,12
2,3,10,28
2,4,1,13
2,4,2,16
2,4,3,9
2,4,4,13
2,4,5,25
2,4,6,5
2,4,7,12
2,4,8,9
2,4,9,5
2,4,10,21
3,1,1,10976
3,1,2,11950
3,1,3,9972
3,1,4,9967
3,1,5,14921
3,1,6,6
3,1,7,17
3,1,8,10
3,1,9,11
3,1,10,31
3,2,1,13
3,2,2,20
3,2,3,9
3,2,4,15
3,2,5,25
3,2,6,5
3,2,7,13
3,2,8,9
3,2,9,7
3,2,10,23
3,3,1,10976
3,3,2,11940
3,3,3,9969
3,3,4,9964
3,3,5,14918
3,3,6,6
3,3,7,26
3,3,8,10
3,3,9,13
3,3,10,28
3,4,1,13
3,4,2,19
3,4,3,11
3,4,4,16
3,4,5,29
3,4,6,5
3,4,7,15
3,4,8,10
3,4,9,7
3,4,10,25
4,1,1,10976
4,1,2,11931
4,1,3,9967
4,1,4,9961
4,1,5,14914
4,1,6,6
4,1,7,33
4,1,8,11
4,1,9,16
4,1,10,26
4,2,1,13
4,2,2,19
4,2,3,12
4,2,4,15
4,2,5,34
4,2,6,5
4,2,7,17
4,2,8,10
4,2,9,8
4,2,10,26
4,3,1,10976
4,3,2,11921
4,3,3,9964
4,3,4,9959
4,3,5,14909
4,3,6,6
4,3,7,42
4,3,8,13
4,3,9,14
4,3,10,29
4,4,1,13
4,4,2,20
4,4,3,13
4,4,4,18
4,4,5,36
4,4,6,5
4,4,7,17
4,4,8,10
4,4,9,9
4,4,10,26
5,1,1,10976
5,1,2,11913
5,1,3,9956
5,1,4,9958
5,1,5,14900
5,1,6,6
5,1,7,45
5,1,8,19
5,1,9,14
5,1,10,33
5,2,1,13
5,2,2,25
5,2,3,15
5,2,4,19
5,2,5,38
5,2,6,5
5,2,7,17
5,2,8,10
5,2,9,9
5,2,10,29
5,3,1,10976
5,3,2,11908
5,3,3,9953
5,3,4,9949
5,3,5,14888
5,3,6,6
5,3,7,40
5,3,8,22
5,3,9,22
5,3,10,38
5,4,1,13
5,4,2,33
5,4,3,15
5,4,4,19
5,4,5,44
5,4,6,5
5,4,7,19
5,4,8,10
5,4,9,10
5,4,10,30
