node,compartment,time,value
1,1,1,10976
1,1,2,10976
1,1,3,10976
1,1,4,10976
1,1,5,10976
1,1,6,10976
1,1,7,10976
1,1,8,10976
1,1,9,10976
1,1,10,10976
1,2,1,6
1,2,2,6
1,2,3,6
1,2,4,6
1,2,5,6
1,2,6,6
1,2,7,6
1,2,8,6
1,2,9,6
1,2,10,6
1,3,1,13
1,3,2,13
1,3,3,13
1,3,4,13
1,3,5,13
1,3,6,13
1,3,7,13
1,3,8,13
1,3,9,13
1,3,10,13
1,4,1,5
1,4,2,5
1,4,3,5
1,4,4,5
1,4,5,5
1,4,6,5
1,4,7,5
1,4,8,5
1,4,9,5
1,4,10,5
2,1,1,11965
2,1,2,11964
2,1,3,11963
2,1,4,11959
2,1,5,11956
2,1,6,11954
2,1,7,11952
2,1,8,11948
2,1,9,11947
2,1,10,11944
2,2,1,13
2,2,2,12
2,2,3,11
2,2,4,12
2,2,5,14
2,2,6,16
2,2,7,18
2,2,8,21
2,2,9,19
2,2,10,21
2,3,1,10
2,3,2,12
2,3,3,12
2,3,4,14
2,3,5,14
2,3,6,13
2,3,7,13
2,3,8,12
2,3,9,15
2,3,10,13
2,4,1,12
2,4,2,12
2,4,3,14
2,4,4,15
2,4,5,16
2,4,6,17
2,4,7,17
2,4,8,19
2,4,9,19
2,4,10,22
3,1,1,9981
3,1,2,9978
3,1,3,9978
3,1,4,9975
3,1,5,9975
3,1,6,9973
3,1,7,9971
3,1,8,9966
3,1,9,9962
3,1,10,9959
3,2,1,3
3,2,2,6
3,2,3,5
3,2,4,7
3,2,5,6
3,2,6,8
3,2,7,8
3,2,8,13
3,2,9,16
3,2,10,19
3,3,1,9
3,3,2,9
3,3,3,8
3,3,4,8
3,3,5,8
3,3,6,8
3,3,7,9
3,3,8,8
3,3,9,8
3,3,10,8
3,4,1,7
3,4,2,7
3,4,3,9
3,4,4,10
3,4,5,11
3,4,6,11
3,4,7,12
3,4,8,13
3,4,9,14
3,4,10,14
4,1,1,9976
4,1,2,9976
4,1,3,9972
4,1,4,9968
4,1,5,9964
4,1,6,9960
4,1,7,9957
4,1,8,9953
4,1,9,9950
4,1,10,9945
4,2,1,11
4,2,2,8
4,2,3,8
4,2,4,11
4,2,5,14
4,2,6,16
4,2,7,17
4,2,8,20
4,2,9,20
4,2,10,21
4,3,1,8
4,3,2,11
4,3,3,15
4,3,4,15
4,3,5,15
4,3,6,17
4,3,7,17
4,3,8,17
4,3,9,19
4,3,10,23
4,4,1,5
4,4,2,5
4,4,3,5
4,4,4,6
4,4,5,7
4,4,6,7
4,4,7,9
4,4,8,10
4,4,9,11
4,4,10,11
5,1,1,14954
5,1,2,14948
5,1,3,14945
5,1,4,14935
5,1,5,14929
5,1,6,14922
5,1,7,14915
5,1,8,14904
5,1,9,14895
5,1,10,14883
5,2,1,11
5,2,2,15
5,2,3,16
5,2,4,23
5,2,5,23
5,2,6,28
5,2,7,33
5,2,8,42
5,2,9,43
5,2,10,47
5,3,1,20
5,3,2,21
5,3,3,22
5,3,4,24
5,3,5,30
5,3,6,28
5,3,7,27
5,3,8,29
5,3,9,36
5,3,10,40
5,4,1,15
5,4,2,16
5,4,3,17
5,4,4,18
5,4,5,18
5,4,6,22
5,4,7,25
5,4,8,25
5,4,9,26
5,4,10,30
